loctime,utc,density,dim,temp,press,RH,LAI,Uh,ustar,h,d,z0,z,Lo,wstar,Vd_cm,wstarloc
1,9,1500,0.52,298.15,101325,74.45,4,1.2,0.1,0.875,0.656,0.03,5,3.35,2,0.07,0
2,10,1500,0.52,298.15,101325,78.63,4,0.84,0.07,0.875,0.656,0.03,5,1.19,1.1,0.15,0
3,11,1500,0.52,298.15,101325,82.02,4,0.74,0.06,0.875,0.656,0.03,5,2.51,0,0.04,0
4,12,1500,0.52,298.15,101325,84.01,4,1.06,0.09,0.875,0.656,0.03,5,0.61,0,0.02,0
5,13,1500,0.52,298.15,101325,89.19,4,1.06,0.09,0.875,0.656,0.03,5,0.61,0,0.06,0
6,14,1500,0.52,298.15,101325,87.58,4,1.38,0.11,0.875,0.656,0.03,5,40.32,0,0.24,0
7,15,1500,0.52,298.15,101325,89.57,4,1.46,0.12,0.875,0.656,0.03,5,4.03,0,0.02,0
8,16,1500,0.52,298.15,101325,89.16,4,1.89,0.16,0.875,0.656,0.03,5,-6.76,0,0.53,0
9,17,1500,0.52,298.15,101325,81.17,4,2.25,0.19,0.875,0.656,0.03,5,-12.02,0,0.67,0.7
10,18,1500,0.52,298.15,101325,75.57,4,2.43,0.2,0.875,0.656,0.03,5,-7.1,0,0.65,1.3
11,19,1500,0.52,298.15,101325,70.57,4,2.14,0.18,0.875,0.656,0.03,5,-2.98,0,0.43,2.1
12,20,1500,0.52,298.15,101325,64.97,4,2,0.16,0.875,0.656,0.03,5,-3.91,0,0.37,2.7
13,21,1500,0.52,298.15,101325,61.37,4,2.21,0.18,0.875,0.656,0.03,5,-4.55,0,0.36,3.2
14,22,1500,0.52,298.15,101325,58.57,4,2.54,0.21,0.875,0.656,0.03,5,-5.43,0,0.37,3.4
15,23,1500,0.52,298.15,101325,54.37,4,2.54,0.21,0.875,0.656,0.03,5,-8.93,0.7,0.4,3.3
16,24,1500,0.52,298.15,101325,48.97,4,2.72,0.22,0.875,0.656,0.03,5,-5.04,1.3,0.53,3.2
17,1,1500,0.52,298.15,101325,49.16,4,3.33,0.27,0.875,0.656,0.03,5,-13.16,2,0.45,3
18,2,1500,0.52,298.15,101325,47.56,4,4.16,0.34,0.875,0.656,0.03,5,-89.29,2.7,0.49,2.7
19,3,1500,0.52,298.15,101325,55.33,4,3.65,0.3,0.875,0.656,0.03,5,6.48,3.2,0.54,2
20,4,1500,0.52,298.15,101325,62.71,4,3.54,0.29,0.875,0.656,0.03,5,4.88,3.4,0.56,1.1
21,5,1500,0.52,298.15,101325,67.29,4,2.68,0.22,0.875,0.656,0.03,5,7.96,3.35,0.34,0
22,6,1500,0.52,298.15,101325,70.68,4,2.64,0.22,0.875,0.656,0.03,5,3.81,3.2,0.27,0
23,7,1500,0.52,298.15,101325,73.66,4,1.96,0.16,0.875,0.656,0.03,5,4.28,3,0.23,0
24,8,1500,0.52,298.15,101325,75.45,4,1.53,0.13,0.875,0.656,0.03,5,3.27,2.7,0.16,0
